city,date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,pollution
Ahmedabad,02-01-2022,5,814.44,0.01,18.34,31.47,8.7,92.2,106.72,6.59,1078.47
Ahmedabad,03-01-2022,5,754.36,0,15.77,47.92,9.66,103.5,115.67,9.88,1056.76
Ahmedabad,04-01-2022,5,974.66,0,23.31,38.62,12.76,105.05,123.61,11.27,1289.28
Ahmedabad,05-01-2022,5,1455.31,0.43,40.78,14.84,17.64,131.77,159.91,16.97,1837.65
Ahmedabad,06-01-2022,4,660.9,0,23.99,45.06,18.84,41.78,46.99,4.94,842.5
Ahmedabad,07-01-2022,5,3257.75,76,50.04,0,33.38,240.45,287.95,16.21,3961.78
Ahmedabad,08-01-2022,5,2990.72,58.11,29.82,0,25.99,177.74,194.29,11.65,3488.32
Ahmedabad,09-01-2022,4,841.14,0.01,26.73,33.62,9.89,47.83,54.75,9.37,1023.34
Ahmedabad,10-01-2022,4,707.63,0.01,25.7,36.84,11.32,30.44,36.97,12.79,861.7
Ahmedabad,11-01-2022,4,727.65,0,18.51,47.92,11.21,38.66,50.43,14.31,908.69
Ahmedabad,12-01-2022,4,794.41,0,25.7,42.92,14.78,45.47,55.96,14.19,993.43
Ahmedabad,13-01-2022,5,1174.93,1.22,38.73,9.92,12.99,79.1,101.48,15.71,1434.08
Ahmedabad,14-01-2022,5,834.47,0,27.08,40.41,12.52,51.48,66.61,16.21,1048.78
Ahmedabad,15-01-2022,5,947.95,0.01,29.82,37.19,13.35,78.99,95.99,16.72,1220.02
Ahmedabad,16-01-2022,5,574.11,0,12.17,67.95,10.37,55.73,63.89,12.29,796.51
Ahmedabad,17-01-2022,5,667.57,0,14.74,51.5,9.3,71.22,81.6,13.55,909.48
Ahmedabad,18-01-2022,5,1401.9,0.18,45.93,16.99,15.97,126.59,148.74,13.55,1769.85
Ahmedabad,19-01-2022,5,1922.61,9.16,60.32,0.66,19.55,169.21,192.39,13.93,2387.83
Ahmedabad,20-01-2022,5,6301.88,110.86,122.01,0,123.98,595.31,648.62,105.38,8008.04
Ahmedabad,21-01-2022,5,1922.61,34.42,31.87,0,21.7,127.41,168.42,15.83,2322.26
Ahmedabad,22-01-2022,4,460.62,0,13.19,50.07,8.58,37.23,80.49,4.18,654.36
Ahmedabad,23-01-2022,5,300.41,0,5.74,117.3,7.75,61.99,230.85,3.29,727.33
Ahmedabad,24-01-2022,5,1708.98,14.75,39.76,0.39,27.42,103.77,125.89,31.41,2052.37
Ahmedabad,25-01-2022,5,1815.8,10.73,69.23,1.74,20.98,107.1,126.83,21.28,2173.69
Ahmedabad,26-01-2022,5,2429.96,32.63,65.12,0.01,20.03,159.3,198.42,23.56,2929.03
Ahmedabad,27-01-2022,5,1842.5,18.1,47.3,0.19,18.6,133.14,167.68,26.09,2253.6
Ahmedabad,28-01-2022,4,747.68,0,22.62,48.64,13.71,40.63,54.17,15.58,943.03
Ahmedabad,29-01-2022,5,934.6,0.46,31.53,15.56,14.31,59.94,79.15,18.49,1154.04
Ahmedabad,30-01-2022,5,2109.53,25.48,51.41,0.02,16.21,153.63,189.07,28.63,2573.98
Ahmedabad,31-01-2022,5,2136.23,28.16,60.32,0,28.85,144.05,173.91,39.52,2611.04
Ahmedabad,01-02-2022,5,5126.95,101.92,49.35,0,38.15,365.92,419.71,35.46,6137.46
Ahmedabad,02-02-2022,5,4005.43,82.25,84.31,0,77.25,269.95,364.99,79.04,4963.22
Ahmedabad,03-02-2022,5,814.44,0.11,32.56,30.76,13.47,71.1,100.68,13.3,1076.42
Ahmedabad,04-02-2022,5,1081.47,0.05,41.81,28.25,23.6,65.51,107.78,19.25,1367.72
Ahmedabad,05-02-2022,5,7370,144.84,154.91,0,198.36,582.15,644.73,149.97,9244.96
Ahmedabad,06-02-2022,5,1121.52,0,31.19,77.96,38.62,138.09,169.12,26.85,1603.35
Ahmedabad,07-02-2022,5,1428.6,0,46.61,87.26,32.9,179.62,201.89,16.72,1993.6
Ahmedabad,08-02-2022,5,1976.01,21.23,57.58,0.04,25.03,124.74,167.02,26.6,2398.25
Ahmedabad,09-02-2022,5,5554.2,108.18,97.33,0,79.15,389.28,496.12,84.1,6808.36
Ahmedabad,10-02-2022,4,741,0,28.79,52.93,18.36,49.45,60.41,14.19,965.13
Ahmedabad,11-02-2022,5,1188.28,0.56,37.7,12.7,18.12,85.96,114.72,22.55,1480.59
Ahmedabad,12-02-2022,5,1201.63,1.54,40.1,8.23,20.74,75.7,102.16,22.29,1472.39
Ahmedabad,13-02-2022,5,881.2,0.04,27.08,25.75,16.45,69.57,85.9,17.99,1123.98
Ahmedabad,14-02-2022,5,934.6,0,30.16,60.8,17.88,71.09,88.42,18.49,1221.44
Ahmedabad,15-02-2022,5,1041.41,0.01,39.07,35.76,23.13,77.84,91.18,19,1327.4
Ahmedabad,16-02-2022,5,1976.01,10.73,69.23,0.94,31.47,152.84,180.64,26.6,2448.46
Ahmedabad,17-02-2022,5,1895.9,27.49,41.13,0.02,30.28,120.38,161.36,30.15,2306.71
Ahmedabad,18-02-2022,5,761.03,0,22.28,57.94,18.12,61.47,79.1,17.23,1017.17
Ahmedabad,19-02-2022,5,1041.41,0,37.01,36.48,20.5,80.09,99.85,19.25,1334.59
Ahmedabad,20-02-2022,4,547.41,0,21.25,72.24,15.74,36.11,47.9,11.65,752.3
Ahmedabad,21-02-2022,5,754.36,0,19.71,60.8,21.46,73.97,100.03,14.69,1045.02
Ahmedabad,22-02-2022,4,734.33,0.12,29.13,23.96,16.69,38.79,57.71,13.55,914.28
Ahmedabad,23-02-2022,5,1041.41,1.17,39.41,9.92,22.65,55.28,76.55,18.24,1264.63
Ahmedabad,24-02-2022,5,1949.31,16.99,70.6,0.14,30.99,102.63,148.71,25.08,2344.45
Ahmedabad,25-02-2022,5,3017.43,44.7,86.37,0,58.65,175.05,228.56,49.14,3659.9
Ahmedabad,26-02-2022,5,2910.61,28.16,89.11,0.01,66.76,205.5,255.37,55.22,3610.74
Ahmedabad,27-02-2022,5,1562.12,15.42,46.61,0.1,27.66,88.69,126.22,26.09,1892.91
Ahmedabad,28-02-2022,5,674.25,0,22.62,77.25,18.84,66.11,88.82,13.68,961.57
Ahmedabad,01-03-2022,5,2429.96,31.74,54.15,0,35.29,174.68,231.02,31.92,2988.76
Ahmedabad,02-03-2022,5,2349.85,30.85,56.89,0,39.1,159.58,217.92,43.57,2897.76
Ahmedabad,03-03-2022,4,647.54,0,23.31,66.52,18.12,42.94,61.85,12.79,873.07
Ahmedabad,04-03-2022,4,587.46,0,19.19,79.39,16.69,33.2,44.88,10.39,791.2
Ahmedabad,05-03-2022,4,974.66,0.01,37.7,35.76,20.27,42.86,61.07,16.97,1189.3
Ahmedabad,06-03-2022,5,1335.14,2.15,39.76,4.38,25.51,74.41,98.43,23.56,1603.34
Ahmedabad,07-03-2022,5,1268.39,0,45.24,36.12,29.8,73.04,94.33,20.01,1566.93
Ahmedabad,08-03-2022,5,761.03,0,25.7,85.12,21.46,51.91,63.07,13.05,1021.34
Ahmedabad,09-03-2022,5,5767.82,108.18,80.2,0,143.05,418.65,497.62,106.39,7121.91
Ahmedabad,10-03-2022,5,814.44,0,19.02,74.39,20.27,79.41,90.96,13.05,1111.54
Ahmedabad,11-03-2022,5,1041.41,0,37.01,41.84,23.84,64.99,95.29,16.21,1320.59
Ahmedabad,12-03-2022,5,921.25,0,28.1,37.55,21.22,65.2,96.73,16.72,1186.77
Ahmedabad,13-03-2022,5,2216.34,13.86,54.84,0.1,48.64,120.92,162.3,36.48,2653.48
Ahmedabad,14-03-2022,5,2643.59,33.08,86.37,0,70.57,140.35,194.68,79.04,3247.68
Ahmedabad,15-03-2022,5,1762.39,16.54,53.47,0.13,41.01,105.32,149.36,25.59,2153.81
Ahmedabad,16-03-2022,5,647.54,0,23.31,55.79,17.64,50.34,81.35,13.05,889.02
Ahmedabad,17-03-2022,4,814.44,0.02,33.59,24.32,18.84,49.21,75.19,14.82,1030.43
Ahmedabad,18-03-2022,5,1054.76,0.63,50.04,12.52,22.89,55.69,77.59,15.71,1289.83
Ahmedabad,19-03-2022,4,600.81,0,20.22,61.51,13.95,41.8,61.24,9.5,809.03
Ahmedabad,20-03-2022,4,794.41,0,23.99,48.64,17.64,44,57.22,11.4,997.3
Ahmedabad,21-03-2022,5,2056.12,35.32,32.9,0,44.82,114.67,161.58,24.57,2469.98
Ahmedabad,22-03-2022,3,473.98,0,16.11,59.37,13.35,23.55,39.19,9.75,635.3
Ahmedabad,23-03-2022,3,380.52,0,11.82,77.25,11.32,20.55,35.29,7.03,543.78
Ahmedabad,24-03-2022,5,1789.09,24.59,51.41,0,37.19,92.41,153.24,25.59,2173.52
Ahmedabad,25-03-2022,4,774.38,0.01,29.82,40.05,19.31,46.66,60.82,11.27,982.32
Ahmedabad,26-03-2022,5,2162.93,25.26,43.18,0.01,39.58,126.1,182.76,24.83,2604.65
Ahmedabad,27-03-2022,5,1895.9,30.4,32.56,0,41.48,103.94,146.13,27.87,2278.28
Ahmedabad,28-03-2022,5,2136.23,34.87,47.98,0,47.21,114.31,162.88,30.15,2573.63
Ahmedabad,29-03-2022,4,487.33,0,12.34,69.38,12.16,49.1,78.6,7.92,716.83
Ahmedabad,30-03-2022,5,367.16,0,10.02,72.24,11.68,54.33,115.12,5.38,635.93
